date,from,to,value_eth,gas_used,gas_price_gwei,gas_fee_eth,status
2026-02-05 08:43,0xf8fc9a91...,0xd8da6bf2...,0.0005,21062,2.24,4.7e-05,Success
2026-02-05 04:43,0xb063b093...,0xd8da6bf2...,0.0,21062,0.18,4e-06,Success
2026-02-01 00:21,0xf8fc9a91...,0xd8da6bf2...,0.0,21062,1.08,2.3e-05,Success
2026-01-31 12:53,0xf8fc9a91...,0xd8da6bf2...,0.0003,21062,9.64,0.000203,Success
2026-01-31 05:33,0xf8fcc291...,0xd8da6bf2...,0.0,21062,0.09,2e-06,Success
2026-01-31 05:32,0xf8fc9a91...,0xd8da6bf2...,0.0031,21062,1.09,2.3e-05,Success
2026-01-29 12:16,0xd8da6bf2...,0x5256d6d9...,0.0,127089,0.93,0.000118,Success
2026-01-29 11:47,0xd8da6bf2...,0x5256d6d9...,0.0,98818,1.71,0.000169,Success
2026-01-29 11:03,0xd8da6bf2...,0x5256d6d9...,0.0,83050,3.94,0.000327,Success
2026-01-29 04:13,0x7ce472d8...,0xd8da6bf2...,0.0,21062,0.06,1e-06,Success
2026-01-29 04:12,0x7ce57ba8...,0xd8da6bf2...,0.0001,21062,0.08,2e-06,Success
2026-01-24 07:50,0xdae49f66...,0xd8da6bf2...,0.0,35480,2.05,7.3e-05,Success
2026-01-23 18:36,0xef96d04b...,0xd8da6bf2...,0.0,31920,1.31,4.2e-05,Success
2026-01-22 17:05,0xbd7c8044...,0xd8da6bf2...,0.0,21062,0.06,1e-06,Success
2026-01-22 17:04,0xbd7c8e46...,0xd8da6bf2...,0.0001,21062,2.06,4.3e-05,Success
2026-01-22 06:00,0x6e5140d9...,0xd8da6bf2...,0.0,21062,0.04,1e-06,Success
2026-01-22 03:55,0x7db4ae15...,0xd8da6bf2...,0.0001,21062,0.06,1e-06,Success
2026-01-21 23:16,0xd8da6bf2...,0xfeb016d0...,0.0,62012,0.07,4e-06,Success
2026-01-21 16:38,0x1a33b3d9...,0xd8da6bf2...,0.0,21000,0.17,4e-06,Failed
2026-01-21 16:38,0x1a33b3d9...,0xd8da6bf2...,0.0,21000,0.17,4e-06,Failed
2026-01-21 16:35,0xdae49f66...,0xd8da6bf2...,0.0,225880,2.1,0.000475,Success
2026-01-21 16:27,0xdae49f66...,0xd8da6bf2...,0.0,448600,2.1,0.000943,Success
2026-01-21 16:23,0xdae49f66...,0xd8da6bf2...,0.0,213560,2.12,0.000452,Success
2026-01-21 16:23,0xdae49f66...,0xd8da6bf2...,0.0,180600,2.13,0.000385,Success
2026-01-21 15:28,0xdae49f66...,0xd8da6bf2...,0.0,99960,2.15,0.000215,Success
2026-01-21 13:19,0xd8da6bf2...,0x231b0ee1...,0.0,114368,0.3,3.4e-05,Success
2026-01-21 06:56,0xfeb02eff...,0xd8da6bf2...,0.0,21062,0.11,2e-06,Success
2026-01-21 06:55,0x3c7776ed...,0xd8da6bf2...,0.0,21062,0.11,2e-06,Success
2026-01-21 06:45,0xfeb02eff...,0xd8da6bf2...,0.0,21062,0.12,3e-06,Success
2026-01-21 06:45,0x3c77c73f...,0xd8da6bf2...,0.0,21062,0.11,2e-06,Success
2026-01-21 05:41,0xfeb02eff...,0xd8da6bf2...,0.0,21062,0.06,1e-06,Success
2026-01-21 05:40,0xfeb02fde...,0xd8da6bf2...,0.0,21062,0.07,1e-06,Success
2026-01-21 05:12,0xfeb17789...,0xd8da6bf2...,0.0,21062,0.11,2e-06,Success
2026-01-21 05:11,0xfebea6a5...,0xd8da6bf2...,0.0,21062,0.12,2e-06,Success
2026-01-21 05:10,0xd8da6bf2...,0xfeb016d0...,1.0,27329,0.11,3e-06,Success
2026-01-20 19:51,0x6b3ae7e1...,0xd8da6bf2...,0.0,21062,0.16,3e-06,Success
2026-01-20 19:46,0xa2d3697a...,0xd8da6bf2...,0.0,21062,0.18,4e-06,Success
2026-01-20 04:52,0xd8da6bf2...,0x71cfc1be...,0.0,89746,0.07,7e-06,Success
2026-01-19 15:31,0x399df6a0...,0xd8da6bf2...,0.0,21062,0.07,2e-06,Success
2026-01-19 15:25,0x399df6a0...,0xd8da6bf2...,0.0,21062,0.06,1e-06,Success
2026-01-19 15:02,0x399df6a0...,0xd8da6bf2...,0.0,21062,0.07,1e-06,Success
2026-01-19 13:58,0x478da295...,0xd8da6bf2...,0.0,22280,0.06,1e-06,Success
2026-01-19 13:26,0x399df6a0...,0xd8da6bf2...,0.0,21062,0.08,2e-06,Success
2026-01-18 17:31,0xdae49f66...,0xd8da6bf2...,0.0,99960,2.03,0.000203,Success
2026-01-18 09:33,0x4a3d954b...,0xd8da6bf2...,0.0,2252000,0.03,7.6e-05,Success
2026-01-18 09:13,0xdae49f66...,0xd8da6bf2...,0.0,117240,2.03,0.000238,Success
2026-01-16 21:08,0x3c7776ed...,0xd8da6bf2...,0.0,21062,0.04,1e-06,Success
2026-01-16 21:04,0x3c77c73f...,0xd8da6bf2...,0.0,21062,0.03,1e-06,Success
2026-01-16 19:51,0x3c7776ed...,0xd8da6bf2...,0.0,21062,0.03,1e-06,Success
2026-01-16 19:47,0x3c77c73f...,0xd8da6bf2...,0.0,21062,0.04,1e-06,Success
